Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Load Cell 0 (raw),Load Cell 1 (raw),Load Cell 2 (raw),Load Cell 3 (raw),Load Cell 4 (raw),Load Cell 5 (raw),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
8.700394500000058,1010.6495249999992,,0.0040867740216297575,-0.03293745820012193,24.225635850993164,0.05781747074568029,0,1.4006649923467678,0,0,0,0,-0.12193406820297241,-0.03214346766471863,-0.025853878259658812,-0.0107599139213562,-0.006791597604751587,-0.0005219042301177979,0.05759650015612999,0,0,0,0,0,0,0,0,,
9.25866500000003,1029.276566666666,,0.00409125375083009,-0.03330669715427341,24.22568627178979,0.057476401671748736,0,1.3924052734582146,0,0,0,0,-0.12193617820739747,-0.032134455442428586,-0.02584988474845886,-0.010752737522125244,-0.006779515743255615,-0.0005313575267791748,0.0576179992766495,0,0,0,0,0,0,0,0,,
9.87193025000004,1049.7136166666655,,0.003972373243251318,-0.03335668951985371,24.225820533212,0.05790034424067232,0,1.4026833551287199,0,0,0,0,-0.12194944024085999,-0.03215104341506958,-0.025840097665786745,-0.010773491859436036,-0.00679972767829895,-0.000512021780014038,0.057632223794908455,0,0,0,0,0,0,0,0,,
10.429369750000038,1068.2875083333333,,0.004018821911827808,-0.03317693604207874,24.225880283224274,0.058611714272905034,0,1.4199203668900628,0,0,0,0,-0.12195115089416504,-0.032129871845245364,-0.025838249921798707,-0.010762512683868408,-0.006781905889511108,-0.0005217313766479493,0.05778439235362104,0,0,0,0,0,0,0,0,,
10.991917500000051,1087.0296999999991,,0.004248879906550038,-0.033169495998674116,24.22606979542298,0.05743947144111476,0,1.391532646345445,0,0,0,0,-0.12194321751594543,-0.03212799429893494,-0.025831973552703856,-0.010759687423706055,-0.006785053014755249,-0.0005057454109191895,0.05776526496155676,0,0,0,0,0,0,0,0,,
11.554875250000041,1105.8095749999998,,0.004121443919049272,-0.03309836037404699,24.22629184839141,0.05914129389771888,0,1.4327742640248615,0,0,0,0,-0.12193395495414734,-0.0321179449558258,-0.025847041606903078,-0.01076933741569519,-0.006781423091888427,-0.0005275964736938477,0.05791091812400588,0,0,0,0,0,0,0,0,,
12.10671925000006,1124.2025083333322,,0.004123925397402634,-0.03334897420020642,24.22635105495383,0.05939746374859323,0,1.438983790379467,0,0,0,0,-0.12194321751594543,-0.032131916284561156,-0.025838559865951537,-0.010772216320037841,-0.0067809224128723145,-0.000511234998703003,0.058190891392899825,0,0,0,0,0,0,0,0,,
12.708710500000056,1144.3005416666665,,0.004189563354138457,-0.033260858090859546,24.226036881618548,0.06980152223906518,0,1.6910138310544531,0,0,0,0,-0.12194858193397522,-0.03213582634925842,-0.025831371545791626,-0.01075747013092041,-0.006783294677734375,-0.0005061864852905273,0.05951969614585606,0,0,0,0,0,0,0,0,,
13.256107250000037,1162.5360749999993,,-0.03508111339419211,-0.030489158091197545,24.222142017242973,0.17775046259633517,0,4.3049316915546765,0.0015360520987694924,0.016521121679433447,1.284261231021206,0.0007039353758422714,-0.12175171375274658,-0.03560616970062256,-0.025656086206436158,-0.014229893684387207,-0.006560605764389038,-0.004148036241531372,0.07015015623894272,0.05,0,0,0,0,0,0,0,,
13.810177000000056,1180.9823749999991,,-0.09274086765757786,0.032792260555024356,24.212017391973067,0.43294549909830715,584,10.48240115701813,5.021106548795681,49.825342827000426,0.12179392004727001,0.0035660318266229818,-0.1202163815498352,-0.03502049446105957,-0.024124282598495483,-0.013576191663742066,-0.005120670795440674,-0.0034812450408935546,0.12723974011994438,0,0,0,0,0,0,0,0,,
14.35020425000005,1199.0279749999995,,-0.054978862342284975,0.08786337014742789,24.211064512785857,0.4505741119264061,855,10.908843511351009,4.927605293539125,45.178997788474184,0.017749645839688445,0.008014566974052232,-0.11933059096336365,-0.03451233506202698,-0.023443335294723512,-0.013090705871582032,-0.004338705539703369,-0.003100806474685669,0.1741078389360947,0.15,0,0,0,0,0,0,0,,
14.893218750000054,1217.1005166666662,,-0.06529185359102885,0.13501060749845098,24.20650434333293,0.5633293927316505,987,13.636181144181652,6.760034008867606,49.481164817046,0.019950684661255203,0.009875174151080707,-0.1183888077735901,-0.03506721258163452,-0.022623705863952636,-0.013573914766311646,-0.003466796875,-0.003713369369506836,0.23156259160193232,0.15,0,0,0,0,0,0,0,,
15.472203000000045,1236.3913083333325,,-0.07990777464793283,0.1909037894371588,24.200253798484614,0.7162490347294594,1127,17.33331613063334,9.446093379772126,54.44031326976989,0.020198967217101592,0.010997165377922379,-0.11732186675071717,-0.03554508090019226,-0.02160297632217407,-0.014253002405166627,-0.002347797155380249,-0.004368436336517334,0.30641107896803815,0.1,0,0,0,0,0,0,0,,
16.007951750000036,1254.2946499999991,,-0.0958013160501883,0.25141047239525705,24.192880307003286,0.8980135985742035,1254,21.72541443599754,12.599448380062963,57.92409706591481,0.019966101066137845,0.011563171725734313,-0.11618832349777222,-0.036340975761413576,-0.02034848928451538,-0.01487695574760437,-0.0012862980365753174,-0.005050176382064819,0.39236788339433015,0.05,0,0,0,0,0,0,0,,
16.54663650000004,1272.2050083333322,,-0.11329589275357041,0.3203523210825667,24.184201645572948,1.111540590807312,1383,26.88148597954544,16.43378845040518,61.07315787276093,0.01951562395482908,0.011916357765939755,-0.11492886543273925,-0.037586134672164914,-0.01883842349052429,-0.015126836299896241,-0.00020009279251098633,-0.005360394716262817,0.4973136438760696,0.1,0,0,0,0,0,0,0,,
17.10678350000003,1290.8796916666663,,-0.13183980887682642,0.400424635261734,24.17416914551274,1.3540834867775848,1511,32.73357556008278,20.88835905243448,63.77812750960534,0.01918837814879001,0.012236339844510368,-0.11331200003623962,-0.03780766129493714,-0.0177096426486969,-0.016229480504989624,0.0014474153518676757,-0.006773412227630615,0.6275329695633565,0.05,0,0,0,0,0,0,0,,
17.645079750000036,1308.8476333333329,,-0.1526373254048417,0.48341628606077425,24.16262503135098,1.6329500900774736,1638,39.456086432627714,26.203266330436698,66.40694793421832,0.018451122931009874,0.012252668644951437,-0.11189118027687073,-0.03869951367378235,-0.016017353534698485,-0.01702042818069458,0.002981400489807129,-0.007393562793731689,0.7756355428204051,0.1,0,0,0,0,0,0,0,,
18.19325500000005,1327.098941666666,,-0.17303480225376905,0.5692060575007325,24.14956992736761,1.9486944640843344,1761,47.05970948069891,31.92879739772878,67.82803983626891,0.017840612563086642,0.012099894258924234,-0.11021483540534974,-0.03964699506759643,-0.014522111415863037,-0.017821091413497924,0.004479926824569702,-0.008395349979400635,0.9508080505098736,0.1,0,0,0,0,0,0,0,,
18.745618500000052,1345.5055249999994,,-0.19613266001432675,0.6632850932004135,24.134843436661548,2.3002508262183423,1887,55.51565045875221,38.79510317137531,69.85613555100069,0.01711157915419692,0.011951695039745868,-0.10866372585296631,-0.04055429697036743,-0.012642222642898559,-0.018869775533676147,0.00639994740486145,-0.009094667434692384,1.1543472152276566,0.3,0,0,0,0,0,0,0,,
19.305241750000036,1364.1494833333322,,-0.21957240259447638,0.7634375295592623,24.117790110349517,2.7063313953243266,2012,65.26986519122491,46.285896850788106,70.92239440769339,0.016505438896705346,0.011706134295236325,-0.10679307579994202,-0.04155651330947876,-0.010736161470413208,-0.01987563371658325,0.008287525177001953,-0.01005951762199402,1.3901620414136024,0.15,0,0,0,0,0,0,0,,
19.86824800000004,1382.9132249999996,,-0.2444704539947009,0.8721132096418251,24.099118754223884,3.152108820549244,2135,75.96217293715969,54.692590213860946,71.98233101869164,0.015958409989184286,0.011486226706835646,-0.10507254004478454,-0.04288332462310791,-0.008180522918701172,-0.02096477746963501,0.00982663631439209,-0.010898220539093017,1.661240990610891,0.25,0,0,0,0,0,0,0,,
20.42098150000002,1401.3644583333323,,-0.27021326883567476,0.9869092836393726,24.078489980156483,3.633606285560142,2256,87.4910362045097,63.856849142970745,72.9728199738999,0.015460228675026139,0.011281184264941686,-0.10208486318588257,-0.04331872463226318,-0.0071622967720031735,-0.02182304859161377,0.013178259134292603,-0.012421268224716186,1.961194607746974,0.1,0,0,0,0,0,0,0,,
20.960165750000037,1419.342916666666,,-0.2968006130267922,1.082684478773259,24.057207663776925,4.126861049670658,2369,99.27973263230314,73.67034795648863,74.19572398031303,0.014704976972464937,0.010909896699359631,-0.10108165144920349,-0.04500550627708435,-0.004636698961257934,-0.022763848304748535,0.013321340084075928,-0.01336822509765625,2.283066943418771,0.15,0,0,0,0,0,0,0,,
21.51263775000003,1437.7443499999993,,-0.3244524521971408,1.195233006557372,24.032923259358164,4.697464469848748,2488,112.89246870332502,84.54322586821971,74.89327956564439,0.014142164655923212,0.010591519601945347,-0.09914911389350892,-0.046139580011367795,-0.0023746252059936523,-0.02404109835624695,0.01558142900466919,-0.014479309320449829,2.648797116919135,0.1,0,0,0,0,0,0,0,,
22.06093175000005,1456.0368083333328,,-0.35226355163225687,1.311668610737703,24.007013833427536,5.2967524685076945,2601,127.15786889255102,95.97704926597487,75.47483028647187,0.013671568016167581,0.010318422826124047,-0.09705300331115722,-0.047120308876037596,-0.0004901289939880371,-0.02512943744659424,0.017973393201828003,-0.015555328130722046,3.049684431578545,0.1,0,0,0,0,0,0,0,,
22.596440000000023,1473.893974999999,,-0.3815851473573553,1.428375187534734,23.979072498193254,5.944596408332866,2712,142.5442521847161,108.38704221966324,76.03153589610649,0.013183005502627205,0.010023003284952967,-0.09473928809165955,-0.04855455160140991,0.0018632173538208007,-0.02607077956199646,0.020122218132019042,-0.01700586676597595,3.478078378893504,0.1,0,0,0,0,0,0,0,,
23.139948000000047,1491.9782166666655,,-0.41262460810242835,1.5584889897756198,23.948753243843278,6.648241991336372,2820,159.21513052242278,121.89711242102089,76.56053792269645,0.012788858757690202,0.009791196732375562,-0.09289454221725464,-0.04935421943664551,0.0036720633506774902,-0.02746695876121521,0.023475843667984008,-0.01833203434944153,3.953712260115563,0.1,0,0,0,0,0,0,0,,
23.691832500000054,1510.3855666666661,,-0.44404011763556267,1.683969913819157,23.915889335818797,7.413923276967085,2928,177.30832499787957,136.18444280615213,76.80509896638446,0.012369249472830583,0.009500140470251014,-0.09117733240127564,-0.05099387168884277,0.00648118257522583,-0.028804069757461546,0.02549024224281311,-0.019346636533737183,4.480288391404032,0.15,0,0,0,0,0,0,0,,
24.245843250000043,1528.8576999999993,,-0.47755890246556776,1.808739946514223,23.87976099520896,8.256713340950956,3039,197.16609225344024,151.99890658936422,77.08884330519903,0.011902892514903415,0.009175649543582035,-0.08917277455329894,-0.05244166254997253,0.009208184480667115,-0.02999534010887146,0.02756698727607727,-0.020810407400131226,5.057143533189882,0.1,0,0,0,0,0,0,0,,
